hotelname,stars,rating,reviews,roomtype,checkin_date,checkout_date,occupancy,price,breakfast,currency,url
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj s manželskou postelí a terasou,2023-12-10,2023-12-11,2,2569,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj s manželskou postelí a terasou,2023-12-10,2023-12-11,2,2844,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj s manželskou postelí a terasou,2023-12-10,2023-12-11,1,2297,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj s manželskou postelí a terasou,2023-12-10,2023-12-11,1,2547,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,2,2569,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,2,2844,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,1,2297,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,1,2547,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,2,2569,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,2,2844,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,1,2297,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Dvoulůžkový pokoj Deluxe s manželskou postelí,2023-12-10,2023-12-11,1,2547,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,2,2944,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,2,3261,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,3,3094,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,3,3427,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,1,2747,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,1,3047,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,2,2944,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,2,3261,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,3,3094,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,3,3427,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,1,2747,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
Louren - The Bridge Inn,4,7.9,1176,Třílůžkový pokoj Deluxe,2023-12-10,2023-12-11,1,3047,0,Kč,https://www.booking.com/hotel/cz/mostecka-apartments.cs.html?label=gog235jc-1DCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQPoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIE4AIB&sid=a326d50f4f5fac494b51155a82a4508a&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc70be047300a8&srepoch=1701100927&all_sr_blocks=84239109_93771020_2_0_0&highlighted_blocks=84239109_93771020_2_0_0&matching_block_id=84239109_93771020_2_0_0&sr_pri_blocks=84239109_93771020_2_0_0__10517&from=searchresults#hotelTmpl
